Name,Year,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO
Olivia Nelson-Ododa,2025,C,37,21.6,8.2,3.1,5.8,52.6,0.0,0.1,50.0,2.1,3.0,70.3,5.0,0.9,0.7,1.2,1.1
Paige Bueckers,2025,G,36,33.3,19.2,7.2,15.1,47.7,1.1,3.3,33.1,3.8,4.2,88.8,3.9,5.4,1.6,0.5,2.0
Rachel Banham,2025,G,44,24.6,9.0,2.9,7.7,38.2,2.0,5.5,35.7,1.2,1.3,88.1,1.7,2.7,0.6,0.3,1.6
Rebecca Allen,2025,G,44,18.7,5.1,1.9,5.5,34.2,1.0,3.0,31.8,0.4,0.7,61.3,2.6,1.3,0.5,0.5,0.9
Rebekah Gardner,2025,G,41,12.2,3.7,1.3,2.7,50.0,0.5,1.0,47.6,0.5,0.7,81.5,1.8,0.6,0.6,0.2,0.6
Rhyne Howard,2025,G,33,34.9,17.5,5.7,15.1,37.5,3.1,9.6,32.2,3.1,3.6,85.6,4.5,4.6,1.5,0.8,1.7
Rickea Jackson,2025,F,38,30.9,14.7,5.4,12.7,42.4,1.7,4.9,34.8,2.2,2.6,84.7,3.2,1.7,0.6,0.4,2.1
Sabrina Ionescu,2025,G,38,31.4,18.2,6.1,15.1,40.1,2.1,7.1,29.9,4.0,4.3,93.3,4.9,5.7,1.3,0.4,2.6
Sami Whitcomb,2025,G,43,23.9,9.1,3.0,7.8,38.5,2.0,5.5,36.1,1.1,1.3,85.2,2.6,2.5,0.8,0.2,1.6
Saniya Rivers,2025,G,42,26.1,8.8,3.4,8.3,40.7,1.0,3.0,34.1,1.0,1.4,74.6,2.8,2.7,1.5,0.9,1.5
Sarah Ashlee Barker,2025,G,34,14.1,3.1,1.0,3.1,33.7,0.5,1.8,29.5,0.5,0.7,70.8,1.9,0.9,0.3,0.1,1.1
Satou Sabally,2025,F,39,26.6,16.3,5.3,13.2,40.4,1.7,5.4,32.1,3.9,4.7,82.7,5.9,2.5,1.3,0.3,2.0
Shakira Austin,2025,F,38,23.0,12.7,5.0,10.8,46.5,0.1,0.4,13.3,2.6,3.8,66.4,6.4,1.8,1.1,1.1,2.4
Shatori Walker-Kimbrough,2025,G,41,8.6,1.7,0.6,1.5,41.3,0.3,0.8,35.5,0.2,0.3,72.7,0.9,0.5,0.2,0.3,0.4
Skylar Diggins,2025,G,43,31.2,15.5,5.3,12.5,42.3,1.4,4.0,36.5,3.5,4.4,78.8,2.5,6.0,1.2,0.8,2.1
Sonia Citron,2025,G,44,32.2,14.9,5.1,10.8,47.0,1.8,4.1,44.5,3.0,3.4,87.2,4.0,2.4,1.3,0.4,2.1
Stefanie Dolson,2025,C,43,15.2,3.7,1.4,3.3,42.3,0.6,1.7,36.0,0.3,0.5,70.0,2.3,1.4,0.3,0.3,0.7
Stephanie Talbot,2025,F,38,14.2,2.9,1.0,2.7,37.5,0.4,1.5,28.6,0.5,0.7,64.3,2.7,1.7,0.5,0.2,1.1
Sug Sutton,2025,G,43,26.1,7.4,2.8,6.6,42.2,1.0,2.8,35.3,0.9,1.1,77.1,1.8,3.9,0.8,0.1,1.9
Te-Hina Paopao,2025,G,43,16.7,5.8,2.2,5.1,44.0,1.2,3.1,38.6,0.2,0.3,53.8,1.6,2.4,0.5,0.2,1.0
Temi Fagbenle,2025,C,39,23.7,7.4,3.2,6.4,50.2,0.3,1.6,19.4,0.7,0.9,72.2,4.9,1.6,0.9,0.6,1.5
Tiffany Mitchell,2025,G,39,13.1,3.2,1.0,2.6,39.2,0.3,0.8,36.7,0.9,1.2,74.5,1.1,0.3,0.4,0.2,0.6
Tina Charles,2025,C,43,28.4,16.3,6.0,13.8,43.8,0.3,1.1,26.1,3.9,4.6,85.7,5.8,1.7,0.8,0.4,1.9
Veronica Burton,2025,G,44,29.4,11.9,3.4,8.8,38.7,1.4,4.0,34.5,3.8,4.3,87.8,4.4,6.0,1.1,0.6,2.1
