Team,Year,P,yc,rc,PTS
Fulham,2002,38,57,6,75
Leeds United,2002,38,71,2,77
Liverpool,2002,38,47,3,56
Manchester City,2002,38,54,5,69
Manchester United,2002,38,46,1,49
Middlesbrough,2002,38,50,5,65
Newcastle United,2002,38,48,3,57
Southampton,2002,38,47,3,56
Sunderland,2002,38,60,1,63
Tottenham Hotspur,2002,38,60,5,75
West Bromwich Albion,2002,38,53,4,65
West Ham United,2002,38,66,5,81
Arsenal,2001,38,77,6,95
Aston Villa,2001,38,43,2,49
Blackburn Rovers,2001,38,58,4,70
Bolton Wanderers,2001,38,59,7,80
Charlton Athletic,2001,38,63,3,72
Chelsea,2001,38,70,3,79
Derby County,2001,38,73,3,82
Everton,2001,38,60,3,69
Fulham,2001,38,55,1,58
Ipswich Town,2001,38,46,1,49
Leeds United,2001,38,71,5,86
Leicester City,2001,38,77,5,92
Liverpool,2001,38,42,3,51
Manchester United,2001,38,54,1,57
Middlesbrough,2001,38,51,7,72
Newcastle United,2001,38,51,2,57
Southampton,2001,38,36,5,51
Sunderland,2001,38,68,1,71
Tottenham Hotspur,2001,38,58,5,73
West Ham United,2001,38,67,3,76
