Rank,Year,Division,DivisionRank,Team,GP,W,L,OTL,PTS,RW,ROW,SOW,SOL,HOME,AWAY,GF,GA,DIFF,L10,STRK
10,2022,Metropolitan,2,New Jersey Devils,82.0,52.0,22.0,8.0,112.0,39.0,50.0,2.0,4.0,24-13-4,28-9-4,291.0,226.0,65.0,7-3-0,W2
11,2022,Metropolitan,3,New York Rangers,82.0,47.0,22.0,13.0,107.0,37.0,43.0,4.0,3.0,23-13-5,24-9-8,277.0,219.0,58.0,5-2-3,L2
12,2022,Metropolitan,4,New York Islanders,82.0,42.0,31.0,9.0,93.0,36.0,41.0,1.0,5.0,25-13-3,17-18-6,243.0,222.0,21.0,5-4-1,W1
13,2022,Metropolitan,5,Pittsburgh Penguins,82.0,40.0,31.0,11.0,91.0,31.0,39.0,1.0,1.0,23-13-5,17-18-6,262.0,264.0,-2.0,5-4-1,L2
14,2022,Metropolitan,6,Washington Capitals,82.0,35.0,37.0,10.0,80.0,27.0,33.0,2.0,4.0,18-16-7,17-21-3,255.0,265.0,-10.0,2-6-2,L2
15,2022,Metropolitan,7,Philadelphia Flyers,82.0,31.0,38.0,13.0,75.0,26.0,29.0,2.0,1.0,18-18-5,13-20-8,222.0,277.0,-55.0,3-6-1,W2
16,2022,Metropolitan,8,Columbus Blue Jackets,82.0,25.0,48.0,9.0,59.0,15.0,24.0,1.0,1.0,16-23-2,9-25-7,214.0,330.0,-116.0,2-6-2,L1
17,2022,Central,1,Colorado Avalanche,82.0,51.0,24.0,7.0,109.0,36.0,45.0,6.0,3.0,22-13-6,29-11-1,280.0,226.0,54.0,8-1-1,W2
18,2022,Central,2,Dallas Stars,82.0,47.0,21.0,14.0,108.0,39.0,43.0,4.0,3.0,22-10-9,25-11-5,285.0,218.0,67.0,8-2-0,W6
19,2022,Central,3,Minnesota Wild,82.0,46.0,25.0,11.0,103.0,34.0,39.0,7.0,6.0,25-12-4,21-13-7,246.0,225.0,21.0,5-3-2,L2
20,2022,Central,4,Winnipeg Jets,82.0,46.0,33.0,3.0,95.0,36.0,45.0,1.0,1.0,26-13-2,20-20-1,247.0,225.0,22.0,6-4-0,L1
21,2022,Central,5,Nashville Predators,82.0,42.0,32.0,8.0,92.0,29.0,36.0,6.0,2.0,22-15-4,20-17-4,229.0,238.0,-9.0,6-4-0,L1
22,2022,Central,6,St. Louis Blues,82.0,37.0,38.0,7.0,81.0,27.0,34.0,3.0,3.0,18-17-6,19-21-1,263.0,301.0,-38.0,4-5-1,L3
23,2022,Central,7,Arizona Coyotes,82.0,28.0,40.0,14.0,70.0,20.0,25.0,3.0,4.0,21-15-5,7-25-9,228.0,299.0,-71.0,1-7-2,L2
24,2022,Central,8,Chicago Blackhawks,82.0,26.0,49.0,7.0,59.0,18.0,24.0,2.0,2.0,14-23-4,12-26-3,204.0,301.0,-97.0,2-7-1,L1
25,2022,Pacific,1,Vegas Golden Knights,82.0,51.0,22.0,9.0,111.0,38.0,46.0,5.0,4.0,25-15-1,26-7-8,272.0,229.0,43.0,6-1-3,W2
