Rank,Year,Division,DivisionRank,Team,GP,W,L,OTL,PTS,RW,ROW,SOW,SOL,HOME,AWAY,GF,GA,DIFF,L10,STRK
15,2010,Southeast,5,Florida Panthers,82.0,30.0,40.0,12.0,72.0,,26.0,4.0,7.0,16-17-8,14-23-4,195.0,229.0,-34.0,1-7-2,W1
16,2010,Central,1,Detroit Red Wings,82.0,47.0,25.0,10.0,104.0,,43.0,4.0,4.0,21-14-6,26-11-4,261.0,241.0,20.0,4-4-2,W1
17,2010,Central,2,Nashville Predators,82.0,44.0,27.0,11.0,99.0,,38.0,6.0,4.0,24-9-8,20-18-3,219.0,194.0,25.0,7-2-1,L1
18,2010,Central,3,Chicago Blackhawks,82.0,44.0,29.0,9.0,97.0,,38.0,6.0,5.0,24-17-0,20-12-9,258.0,225.0,33.0,5-4-1,L1
19,2010,Central,4,St. Louis Blues,82.0,38.0,33.0,11.0,87.0,,34.0,4.0,6.0,23-13-5,15-20-6,240.0,234.0,6.0,6-2-2,W1
20,2010,Central,5,Columbus Blue Jackets,82.0,34.0,35.0,13.0,81.0,,29.0,5.0,8.0,17-19-5,17-16-8,215.0,258.0,-43.0,1-6-3,L6
21,2010,Northwest,1,Vancouver Canucks,82.0,54.0,19.0,9.0,117.0,,50.0,4.0,5.0,27-9-5,27-10-4,262.0,185.0,77.0,7-3-0,W2
22,2010,Northwest,2,Calgary Flames,82.0,41.0,29.0,12.0,94.0,,32.0,9.0,7.0,23-13-5,18-16-7,250.0,237.0,13.0,5-2-3,L1
23,2010,Northwest,3,Minnesota Wild,82.0,39.0,35.0,8.0,86.0,,36.0,3.0,5.0,19-17-5,20-18-3,206.0,233.0,-27.0,4-6-0,W2
24,2010,Northwest,4,Colorado Avalanche,82.0,30.0,44.0,8.0,68.0,,24.0,6.0,1.0,16-21-4,14-23-4,227.0,288.0,-61.0,2-8-0,W1
25,2010,Northwest,5,Edmonton Oilers,82.0,25.0,45.0,12.0,62.0,,23.0,2.0,9.0,13-22-6,12-23-6,193.0,269.0,-76.0,2-6-2,L3
26,2010,Pacific,1,San Jose Sharks,82.0,48.0,25.0,9.0,105.0,,43.0,5.0,5.0,25-11-5,23-14-4,248.0,213.0,35.0,7-2-1,W1
27,2010,Pacific,2,Anaheim Ducks,82.0,47.0,30.0,5.0,99.0,,43.0,4.0,2.0,26-13-2,21-17-3,239.0,235.0,4.0,7-3-0,W3
28,2010,Pacific,3,Phoenix Coyotes,82.0,43.0,26.0,13.0,99.0,,38.0,5.0,6.0,21-13-7,22-13-6,231.0,226.0,5.0,5-3-2,L1
29,2010,Pacific,4,Los Angeles Kings,82.0,46.0,30.0,6.0,98.0,,36.0,10.0,2.0,25-13-3,21-17-3,219.0,198.0,21.0,6-4-0,L2
30,2010,Pacific,5,Dallas Stars,82.0,42.0,29.0,11.0,95.0,,37.0,5.0,7.0,22-11-8,20-18-3,227.0,233.0,-6.0,4-4-2,L1
1,2009,Atlantic,1,New Jersey Devils,82.0,48.0,27.0,7.0,103.0,,48.0,0.0,0.0,27-10-4,21-17-3,222.0,191.0,31.0,5-2-3,W2
2,2009,Atlantic,2,Pittsburgh Penguins,82.0,47.0,28.0,7.0,101.0,,47.0,0.0,0.0,25-12-4,22-16-3,257.0,237.0,20.0,5-4-1,W1
3,2009,Atlantic,3,Philadelphia Flyers,82.0,41.0,35.0,6.0,88.0,,41.0,0.0,0.0,24-14-3,17-21-3,236.0,225.0,11.0,4-5-1,W1
4,2009,Atlantic,4,New York Rangers,82.0,38.0,33.0,11.0,87.0,,38.0,0.0,0.0,18-17-6,20-16-5,222.0,218.0,4.0,7-1-2,L1
5,2009,Atlantic,5,New York Islanders,82.0,34.0,37.0,11.0,79.0,,34.0,0.0,0.0,23-14-4,11-23-7,222.0,264.0,-42.0,5-4-1,L3
6,2009,Northeast,1,Buffalo Sabres,82.0,45.0,27.0,10.0,100.0,,45.0,0.0,0.0,25-10-6,20-17-4,235.0,207.0,28.0,5-5-0,L1
7,2009,Northeast,2,Ottawa Senators,82.0,44.0,32.0,6.0,94.0,,44.0,0.0,0.0,26-11-4,18-21-2,225.0,238.0,-13.0,7-2-1,L2
8,2009,Northeast,3,Boston Bruins,82.0,39.0,30.0,13.0,91.0,,39.0,0.0,0.0,18-17-6,21-13-7,206.0,200.0,6.0,6-3-1,W3
9,2009,Northeast,4,Montreal Canadiens,82.0,39.0,33.0,10.0,88.0,,39.0,0.0,0.0,20-16-5,19-17-5,217.0,223.0,-6.0,3-4-3,L3
10,2009,Northeast,5,Toronto Maple Leafs,82.0,30.0,38.0,14.0,74.0,,30.0,0.0,0.0,18-17-6,12-21-8,214.0,267.0,-53.0,4-4-2,W1
11,2009,Southeast,1,Washington Capitals,82.0,54.0,15.0,13.0,121.0,,54.0,0.0,0.0,30-5-6,24-10-7,318.0,233.0,85.0,6-1-3,L1
12,2009,Southeast,2,Atlanta Thrashers,82.0,35.0,34.0,13.0,83.0,,35.0,0.0,0.0,19-16-6,16-18-7,234.0,256.0,-22.0,3-5-2,W1
13,2009,Southeast,3,Carolina Hurricanes,82.0,35.0,37.0,10.0,80.0,,35.0,0.0,0.0,21-17-3,14-20-7,230.0,256.0,-26.0,5-3-2,L1
14,2009,Southeast,4,Tampa Bay Lightning,82.0,34.0,36.0,12.0,80.0,,34.0,0.0,0.0,21-14-6,13-22-6,217.0,260.0,-43.0,6-4-0,W3
15,2009,Southeast,5,Florida Panthers,82.0,32.0,37.0,13.0,77.0,,32.0,0.0,0.0,16-16-9,16-21-4,208.0,244.0,-36.0,2-6-2,L2
16,2009,Central,1,Chicago Blackhawks,82.0,52.0,22.0,8.0,112.0,,52.0,0.0,0.0,29-8-4,23-14-4,271.0,209.0,62.0,6-3-1,L1
17,2009,Central,2,Detroit Red Wings,82.0,44.0,24.0,14.0,102.0,,44.0,0.0,0.0,25-10-6,19-14-8,229.0,216.0,13.0,8-1-1,W3
18,2009,Central,3,Nashville Predators,82.0,47.0,29.0,6.0,100.0,,47.0,0.0,0.0,24-14-3,23-15-3,225.0,225.0,0.0,6-3-1,W1
19,2009,Central,4,St. Louis Blues,82.0,40.0,32.0,10.0,90.0,,40.0,0.0,0.0,18-18-5,22-14-5,225.0,223.0,2.0,6-3-1,L1
20,2009,Central,5,Columbus Blue Jackets,82.0,32.0,35.0,15.0,79.0,,32.0,0.0,0.0,20-12-9,12-23-6,216.0,259.0,-43.0,3-4-3,L5
21,2009,Northwest,1,Vancouver Canucks,82.0,49.0,28.0,5.0,103.0,,49.0,0.0,0.0,30-8-3,19-20-2,272.0,222.0,50.0,5-4-1,W1
22,2009,Northwest,2,Colorado Avalanche,82.0,43.0,30.0,9.0,95.0,,43.0,0.0,0.0,24-14-3,19-16-6,244.0,233.0,11.0,3-5-2,L3
23,2009,Northwest,3,Calgary Flames,82.0,40.0,32.0,10.0,90.0,,40.0,0.0,0.0,20-17-4,20-15-6,204.0,210.0,-6.0,4-5-1,L4
24,2009,Northwest,4,Minnesota Wild,82.0,38.0,36.0,8.0,84.0,,38.0,0.0,0.0,25-12-4,13-24-4,219.0,246.0,-27.0,3-5-2,L1
25,2009,Northwest,5,Edmonton Oilers,82.0,27.0,47.0,8.0,62.0,,27.0,0.0,0.0,18-19-4,9-28-4,214.0,284.0,-70.0,4-5-1,L1
26,2009,Pacific,1,San Jose Sharks,82.0,51.0,20.0,11.0,113.0,,51.0,0.0,0.0,27-6-8,24-14-3,264.0,215.0,49.0,8-1-1,W3
27,2009,Pacific,2,Phoenix Coyotes,82.0,50.0,25.0,7.0,107.0,,50.0,0.0,0.0,29-10-2,21-15-5,225.0,202.0,23.0,5-3-2,L1
28,2009,Pacific,3,Los Angeles Kings,82.0,46.0,27.0,9.0,101.0,,46.0,0.0,0.0,22-13-6,24-14-3,241.0,219.0,22.0,4-3-3,W1
29,2009,Pacific,4,Anaheim Ducks,82.0,39.0,32.0,11.0,89.0,,39.0,0.0,0.0,25-11-5,14-21-6,238.0,251.0,-13.0,5-2-3,W1
30,2009,Pacific,5,Dallas Stars,82.0,37.0,31.0,14.0,88.0,,37.0,0.0,0.0,23-11-7,14-20-7,237.0,254.0,-17.0,6-4-0,W2
1,2008,Atlantic,1,New Jersey Devils,82.0,51.0,27.0,4.0,106.0,,51.0,0.0,0.0,28-12-1,23-15-3,244.0,209.0,35.0,4-5-1,W2
2,2008,Atlantic,2,Pittsburgh Penguins,82.0,45.0,28.0,9.0,99.0,,45.0,0.0,0.0,25-13-3,20-15-6,264.0,239.0,25.0,7-2-1,W3
3,2008,Atlantic,3,Philadelphia Flyers,82.0,44.0,27.0,11.0,99.0,,44.0,0.0,0.0,24-13-4,20-14-7,264.0,238.0,26.0,4-5-1,L1
4,2008,Atlantic,4,New York Rangers,82.0,43.0,30.0,9.0,95.0,,43.0,0.0,0.0,26-11-4,17-19-5,210.0,218.0,-8.0,5-4-1,W3
5,2008,Atlantic,5,New York Islanders,82.0,26.0,47.0,9.0,61.0,,26.0,0.0,0.0,17-18-6,9-29-3,201.0,279.0,-78.0,2-7-1,L4
6,2008,Northeast,1,Boston Bruins,82.0,53.0,19.0,10.0,116.0,,53.0,0.0,0.0,29-6-6,24-13-4,274.0,196.0,78.0,8-2-0,W1
7,2008,Northeast,2,Montreal Canadiens,82.0,41.0,30.0,11.0,93.0,,41.0,0.0,0.0,24-10-7,17-20-4,249.0,247.0,2.0,5-3-2,L4
8,2008,Northeast,3,Buffalo Sabres,82.0,41.0,32.0,9.0,91.0,,41.0,0.0,0.0,23-15-3,18-17-6,250.0,234.0,16.0,7-2-1,W3
9,2008,Northeast,4,Ottawa Senators,82.0,36.0,35.0,11.0,83.0,,36.0,0.0,0.0,22-12-7,14-23-4,217.0,237.0,-20.0,4-5-1,L2
10,2008,Northeast,5,Toronto Maple Leafs,82.0,34.0,35.0,13.0,81.0,,34.0,0.0,0.0,16-16-9,18-19-4,250.0,293.0,-43.0,5-5-0,W1
11,2008,Southeast,1,Washington Capitals,82.0,50.0,24.0,8.0,108.0,,50.0,0.0,0.0,29-9-3,21-15-5,272.0,245.0,27.0,6-2-2,L1
12,2008,Southeast,2,Carolina Hurricanes,82.0,45.0,30.0,7.0,97.0,,45.0,0.0,0.0,26-14-1,19-16-6,239.0,226.0,13.0,8-2-0,L2
13,2008,Southeast,3,Florida Panthers,82.0,41.0,30.0,11.0,93.0,,41.0,0.0,0.0,22-12-7,19-18-4,234.0,231.0,3.0,6-3-1,W2
14,2008,Southeast,4,Atlanta Thrashers,82.0,35.0,41.0,6.0,76.0,,35.0,0.0,0.0,18-21-2,17-20-4,257.0,280.0,-23.0,6-4-0,W1
15,2008,Southeast,5,Tampa Bay Lightning,82.0,24.0,40.0,18.0,66.0,,24.0,0.0,0.0,12-18-11,12-22-7,210.0,279.0,-69.0,1-7-2,L9
16,2008,Central,1,Detroit Red Wings,82.0,51.0,21.0,10.0,112.0,,51.0,0.0,0.0,27-9-5,24-12-5,295.0,244.0,51.0,3-6-1,L3
17,2008,Central,2,Chicago Blackhawks,82.0,46.0,24.0,12.0,104.0,,46.0,0.0,0.0,24-9-8,22-15-4,264.0,216.0,48.0,7-2-1,W2
18,2008,Central,3,St. Louis Blues,82.0,41.0,31.0,10.0,92.0,,41.0,0.0,0.0,23-13-5,18-18-5,233.0,233.0,0.0,8-1-1,W3
19,2008,Central,4,Columbus Blue Jackets,82.0,41.0,31.0,10.0,92.0,,41.0,0.0,0.0,25-13-3,16-18-7,226.0,230.0,-4.0,3-3-4,L2
20,2008,Central,5,Nashville Predators,82.0,40.0,34.0,8.0,88.0,,40.0,0.0,0.0,24-13-4,16-21-4,213.0,233.0,-20.0,5-4-1,L1
21,2008,Northwest,1,Vancouver Canucks,82.0,45.0,27.0,10.0,100.0,,45.0,0.0,0.0,24-12-5,21-15-5,246.0,220.0,26.0,6-3-1,W3
22,2008,Northwest,2,Calgary Flames,82.0,46.0,30.0,6.0,98.0,,46.0,0.0,0.0,27-10-4,19-20-2,254.0,248.0,6.0,4-6-0,W1
23,2008,Northwest,3,Minnesota Wild,82.0,40.0,33.0,9.0,89.0,,40.0,0.0,0.0,23-11-7,17-22-2,219.0,200.0,19.0,6-3-1,W3
24,2008,Northwest,4,Edmonton Oilers,82.0,38.0,35.0,9.0,85.0,,38.0,0.0,0.0,18-17-6,20-18-3,234.0,248.0,-14.0,3-7-0,L1
25,2008,Northwest,5,Colorado Avalanche,82.0,32.0,45.0,5.0,69.0,,32.0,0.0,0.0,18-21-2,14-24-3,199.0,257.0,-58.0,1-6-3,L4
26,2008,Pacific,1,San Jose Sharks,82.0,53.0,18.0,11.0,117.0,,53.0,0.0,0.0,32-5-4,21-13-7,257.0,204.0,53.0,5-4-1,L2
27,2008,Pacific,2,Anaheim Ducks,82.0,42.0,33.0,7.0,91.0,,42.0,0.0,0.0,20-18-3,22-15-4,245.0,238.0,7.0,7-2-1,L1
28,2008,Pacific,3,Dallas Stars,82.0,36.0,35.0,11.0,83.0,,36.0,0.0,0.0,20-16-5,16-19-6,230.0,257.0,-27.0,3-4-3,L1
29,2008,Pacific,4,Phoenix Coyotes,82.0,36.0,39.0,7.0,79.0,,36.0,0.0,0.0,23-15-3,13-24-4,208.0,252.0,-44.0,6-4-0,W2
30,2008,Pacific,5,Los Angeles Kings,82.0,34.0,37.0,11.0,79.0,,34.0,0.0,0.0,18-15-8,16-22-3,207.0,234.0,-27.0,4-5-1,W1
1,2007,Atlantic,1,Pittsburgh Penguins,82.0,47.0,27.0,8.0,102.0,,47.0,0.0,0.0,26-10-5,21-17-3,247.0,216.0,31.0,6-3-1,L1
2,2007,Atlantic,2,New Jersey Devils,82.0,46.0,29.0,7.0,99.0,,46.0,0.0,0.0,25-14-2,21-15-5,206.0,197.0,9.0,4-5-1,W1
3,2007,Atlantic,3,New York Rangers,82.0,42.0,27.0,13.0,97.0,,42.0,0.0,0.0,25-13-3,17-14-10,213.0,199.0,14.0,5-1-4,L2
4,2007,Atlantic,4,Philadelphia Flyers,82.0,42.0,29.0,11.0,95.0,,42.0,0.0,0.0,21-14-6,21-15-5,248.0,233.0,15.0,7-2-1,W2
5,2007,Atlantic,5,New York Islanders,82.0,35.0,38.0,9.0,79.0,,35.0,0.0,0.0,18-18-5,17-20-4,194.0,243.0,-49.0,3-5-2,W1
6,2007,Northeast,1,Montreal Canadiens,82.0,47.0,25.0,10.0,104.0,,47.0,0.0,0.0,22-13-6,25-12-4,262.0,222.0,40.0,8-1-1,W3
7,2007,Northeast,2,Ottawa Senators,82.0,43.0,31.0,8.0,94.0,,43.0,0.0,0.0,22-15-4,21-16-4,261.0,247.0,14.0,3-6-1,L1
8,2007,Northeast,3,Boston Bruins,82.0,41.0,29.0,12.0,94.0,,41.0,0.0,0.0,21-16-4,20-13-8,212.0,222.0,-10.0,4-2-4,L1
9,2007,Northeast,4,Buffalo Sabres,82.0,39.0,31.0,12.0,90.0,,39.0,0.0,0.0,20-15-6,19-16-6,255.0,242.0,13.0,6-3-1,W1
10,2007,Northeast,5,Toronto Maple Leafs,82.0,36.0,35.0,11.0,83.0,,36.0,0.0,0.0,18-17-6,18-18-5,231.0,260.0,-29.0,4-5-1,L3
11,2007,Southeast,1,Washington Capitals,82.0,43.0,31.0,8.0,94.0,,43.0,0.0,0.0,23-15-3,20-16-5,242.0,231.0,11.0,9-1-0,W7
12,2007,Southeast,2,Carolina Hurricanes,82.0,43.0,33.0,6.0,92.0,,43.0,0.0,0.0,24-13-4,19-20-2,252.0,249.0,3.0,5-4-1,L1
13,2007,Southeast,3,Florida Panthers,82.0,38.0,35.0,9.0,85.0,,38.0,0.0,0.0,18-15-8,20-20-1,216.0,226.0,-10.0,5-4-1,L1
14,2007,Southeast,4,Atlanta Thrashers,82.0,34.0,40.0,8.0,76.0,,34.0,0.0,0.0,19-19-3,15-21-5,216.0,272.0,-56.0,3-7-0,W1
15,2007,Southeast,5,Tampa Bay Lightning,82.0,31.0,42.0,9.0,71.0,,31.0,0.0,0.0,20-18-3,11-24-6,223.0,267.0,-44.0,2-7-1,L4
16,2007,Central,1,Detroit Red Wings,82.0,54.0,21.0,7.0,115.0,,54.0,0.0,0.0,29-9-3,25-12-4,257.0,184.0,73.0,7-2-1,W2
17,2007,Central,2,Nashville Predators,82.0,41.0,32.0,9.0,91.0,,41.0,0.0,0.0,23-14-4,18-18-5,230.0,229.0,1.0,6-3-1,L1
18,2007,Central,3,Chicago Blackhawks,82.0,40.0,34.0,8.0,88.0,,40.0,0.0,0.0,23-16-2,17-18-6,239.0,235.0,4.0,6-3-1,L1
19,2007,Central,4,Columbus Blue Jackets,82.0,34.0,36.0,12.0,80.0,,34.0,0.0,0.0,20-14-7,14-22-5,193.0,218.0,-25.0,2-7-1,L5
20,2007,Central,5,St. Louis Blues,82.0,33.0,36.0,13.0,79.0,,33.0,0.0,0.0,20-15-6,13-21-7,205.0,237.0,-32.0,4-4-2,W2
21,2007,Northwest,1,Minnesota Wild,82.0,44.0,28.0,10.0,98.0,,44.0,0.0,0.0,25-11-5,19-17-5,223.0,218.0,5.0,6-2-2,L1
22,2007,Northwest,2,Colorado Avalanche,82.0,44.0,31.0,7.0,95.0,,44.0,0.0,0.0,27-12-2,17-19-5,231.0,219.0,12.0,5-4-1,W2
23,2007,Northwest,3,Calgary Flames,82.0,42.0,30.0,10.0,94.0,,42.0,0.0,0.0,21-11-9,21-19-1,229.0,227.0,2.0,5-5-0,W1
24,2007,Northwest,4,Edmonton Oilers,82.0,41.0,35.0,6.0,88.0,,41.0,0.0,0.0,23-17-1,18-18-5,235.0,251.0,-16.0,6-3-1,W1
25,2007,Northwest,5,Vancouver Canucks,82.0,39.0,33.0,10.0,88.0,,39.0,0.0,0.0,21-15-5,18-18-5,213.0,215.0,-2.0,3-7-0,L3
26,2007,Pacific,1,San Jose Sharks,82.0,49.0,23.0,10.0,108.0,,49.0,0.0,0.0,22-13-6,27-10-4,222.0,193.0,29.0,7-2-1,L2
27,2007,Pacific,2,Anaheim Ducks,82.0,47.0,27.0,8.0,102.0,,47.0,0.0,0.0,28-9-4,19-18-4,205.0,191.0,14.0,8-2-0,W3
28,2007,Pacific,3,Dallas Stars,82.0,45.0,30.0,7.0,97.0,,45.0,0.0,0.0,23-16-2,22-14-5,242.0,207.0,35.0,3-5-2,W1
29,2007,Pacific,4,Phoenix Coyotes,82.0,38.0,37.0,7.0,83.0,,38.0,0.0,0.0,17-20-4,21-17-3,214.0,231.0,-17.0,2-6-2,L1
30,2007,Pacific,5,Los Angeles Kings,82.0,32.0,43.0,7.0,71.0,,32.0,0.0,0.0,17-21-3,15-22-4,231.0,266.0,-35.0,4-5-1,L1
1,2006,Atlantic,1,New Jersey Devils,82.0,49.0,24.0,9.0,107.0,,49.0,0.0,0.0,25-10-6,24-14-3,216.0,201.0,15.0,6-3-1,L1
2,2006,Atlantic,2,Pittsburgh Penguins,82.0,47.0,24.0,11.0,105.0,,47.0,0.0,0.0,26-10-5,21-14-6,277.0,246.0,31.0,6-3-1,W2
3,2006,Atlantic,3,New York Rangers,82.0,42.0,30.0,10.0,94.0,,42.0,0.0,0.0,21-15-5,21-15-5,242.0,216.0,26.0,7-2-1,L1
4,2006,Atlantic,4,New York Islanders,82.0,40.0,30.0,12.0,92.0,,40.0,0.0,0.0,22-13-6,18-17-6,247.0,240.0,7.0,6-3-1,W4
5,2006,Atlantic,5,Philadelphia Flyers,82.0,22.0,48.0,12.0,56.0,,22.0,0.0,0.0,10-24-7,12-24-5,214.0,303.0,-89.0,2-7-1,W1
6,2006,Northeast,1,Buffalo Sabres,82.0,53.0,22.0,7.0,113.0,,53.0,0.0,0.0,28-10-3,25-12-4,308.0,242.0,66.0,7-3-0,L1
7,2006,Northeast,2,Ottawa Senators,82.0,48.0,25.0,9.0,105.0,,48.0,0.0,0.0,25-13-3,23-12-6,288.0,221.0,67.0,6-2-2,W1
8,2006,Northeast,3,Toronto Maple Leafs,82.0,40.0,31.0,11.0,91.0,,40.0,0.0,0.0,21-15-5,19-16-6,258.0,269.0,-11.0,6-3-1,W1
9,2006,Northeast,4,Montreal Canadiens,82.0,42.0,34.0,6.0,90.0,,42.0,0.0,0.0,26-12-3,16-22-3,245.0,256.0,-11.0,7-3-0,L2
10,2006,Northeast,5,Boston Bruins,82.0,35.0,41.0,6.0,76.0,,35.0,0.0,0.0,18-19-4,17-22-2,219.0,289.0,-70.0,1-8-1,L6
11,2006,Southeast,1,Atlanta Thrashers,82.0,43.0,28.0,11.0,97.0,,43.0,0.0,0.0,23-12-6,20-16-5,246.0,245.0,1.0,6-3-1,W2
12,2006,Southeast,2,Tampa Bay Lightning,82.0,44.0,33.0,5.0,93.0,,44.0,0.0,0.0,22-18-1,22-15-4,253.0,261.0,-8.0,5-4-1,L2
13,2006,Southeast,3,Carolina Hurricanes,82.0,40.0,34.0,8.0,88.0,,40.0,0.0,0.0,21-16-4,19-18-4,241.0,253.0,-12.0,5-5-0,W1
14,2006,Southeast,4,Florida Panthers,82.0,35.0,31.0,16.0,86.0,,35.0,0.0,0.0,23-12-6,12-19-10,247.0,257.0,-10.0,5-2-3,L1
15,2006,Southeast,5,Washington Capitals,82.0,28.0,40.0,14.0,70.0,,28.0,0.0,0.0,17-17-7,11-23-7,235.0,286.0,-51.0,3-6-1,L1
16,2006,Central,1,Detroit Red Wings,82.0,50.0,19.0,13.0,113.0,,50.0,0.0,0.0,29-4-8,21-15-5,254.0,199.0,55.0,5-1-4,W1
17,2006,Central,2,Nashville Predators,82.0,51.0,23.0,8.0,110.0,,51.0,0.0,0.0,28-8-5,23-15-3,272.0,212.0,60.0,5-3-2,W2
18,2006,Central,3,St. Louis Blues,82.0,34.0,35.0,13.0,81.0,,34.0,0.0,0.0,18-19-4,16-16-9,214.0,254.0,-40.0,4-5-1,L2
19,2006,Central,4,Columbus Blue Jackets,82.0,33.0,42.0,7.0,73.0,,33.0,0.0,0.0,18-19-4,15-23-3,201.0,249.0,-48.0,5-5-0,L1
20,2006,Central,5,Chicago Blackhawks,82.0,31.0,42.0,9.0,71.0,,31.0,0.0,0.0,17-20-4,14-22-5,201.0,258.0,-57.0,4-6-0,L2
21,2006,Northwest,1,Vancouver Canucks,82.0,49.0,26.0,7.0,105.0,,49.0,0.0,0.0,26-11-4,23-15-3,222.0,201.0,21.0,6-3-1,L1
22,2006,Northwest,2,Minnesota Wild,82.0,48.0,26.0,8.0,104.0,,48.0,0.0,0.0,29-7-5,19-19-3,235.0,191.0,44.0,7-2-1,W3
23,2006,Northwest,3,Calgary Flames,82.0,43.0,29.0,10.0,96.0,,43.0,0.0,0.0,30-9-2,13-20-8,258.0,226.0,32.0,6-4-0,L4
24,2006,Northwest,4,Colorado Avalanche,82.0,44.0,31.0,7.0,95.0,,44.0,0.0,0.0,22-16-3,22-15-4,272.0,251.0,21.0,7-2-1,W1
25,2006,Northwest,5,Edmonton Oilers,82.0,32.0,43.0,7.0,71.0,,32.0,0.0,0.0,19-19-3,13-24-4,195.0,248.0,-53.0,2-8-0,W1
26,2006,Pacific,1,Anaheim Ducks,82.0,48.0,20.0,14.0,110.0,,48.0,0.0,0.0,26-6-9,22-14-5,258.0,208.0,50.0,5-3-2,W1
27,2006,Pacific,2,San Jose Sharks,82.0,51.0,26.0,5.0,107.0,,51.0,0.0,0.0,25-12-4,26-14-1,258.0,199.0,59.0,7-1-2,L1
28,2006,Pacific,3,Dallas Stars,82.0,50.0,25.0,7.0,107.0,,50.0,0.0,0.0,28-11-2,22-14-5,226.0,197.0,29.0,7-1-2,W2
29,2006,Pacific,4,Los Angeles Kings,82.0,27.0,41.0,14.0,68.0,,27.0,0.0,0.0,16-16-9,11-25-5,227.0,283.0,-56.0,3-7-0,W1
30,2006,Pacific,5,Phoenix Coyotes,82.0,31.0,46.0,5.0,67.0,,31.0,0.0,0.0,18-20-3,13-26-2,216.0,284.0,-68.0,3-6-1,W1
1,2005,Atlantic,1,New Jersey Devils,82.0,46.0,27.0,9.0,101.0,,46.0,0.0,0.0,27-11-3,19-16-6,242.0,229.0,13.0,10-0-0,W11
2,2005,Atlantic,2,Philadelphia Flyers,82.0,45.0,26.0,11.0,101.0,,45.0,0.0,0.0,22-13-6,23-13-5,267.0,259.0,8.0,5-4-1,W1
3,2005,Atlantic,3,New York Rangers,82.0,44.0,26.0,12.0,100.0,,44.0,0.0,0.0,25-10-6,19-16-6,257.0,215.0,42.0,4-6-0,L5
4,2005,Atlantic,4,New York Islanders,82.0,36.0,40.0,6.0,78.0,,36.0,0.0,0.0,20-18-3,16-22-3,230.0,278.0,-48.0,3-6-1,L2
5,2005,Atlantic,5,Pittsburgh Penguins,82.0,22.0,46.0,14.0,58.0,,22.0,0.0,0.0,12-21-8,10-25-6,244.0,316.0,-72.0,4-4-2,L1
6,2005,Northeast,1,Ottawa Senators,82.0,52.0,21.0,9.0,113.0,,52.0,0.0,0.0,29-9-3,23-12-6,314.0,211.0,103.0,3-5-2,W1
7,2005,Northeast,2,Buffalo Sabres,82.0,52.0,24.0,6.0,110.0,,52.0,0.0,0.0,27-11-3,25-13-3,281.0,239.0,42.0,7-3-0,W5
8,2005,Northeast,3,Montreal Canadiens,82.0,42.0,31.0,9.0,93.0,,42.0,0.0,0.0,24-13-4,18-18-5,243.0,247.0,-4.0,6-4-0,L2
9,2005,Northeast,4,Toronto Maple Leafs,82.0,41.0,33.0,8.0,90.0,,41.0,0.0,0.0,26-12-3,15-21-5,257.0,270.0,-13.0,7-1-2,W1
10,2005,Northeast,5,Boston Bruins,82.0,29.0,37.0,16.0,74.0,,29.0,0.0,0.0,16-15-10,13-22-6,230.0,266.0,-36.0,1-5-4,L5
11,2005,Southeast,1,Carolina Hurricanes,82.0,52.0,22.0,8.0,112.0,,52.0,0.0,0.0,31-8-2,21-14-6,294.0,260.0,34.0,5-3-2,L2
12,2005,Southeast,2,Tampa Bay Lightning,82.0,43.0,33.0,6.0,92.0,,43.0,0.0,0.0,25-14-2,18-19-4,252.0,260.0,-8.0,5-4-1,L1
13,2005,Southeast,3,Atlanta Thrashers,82.0,41.0,33.0,8.0,90.0,,41.0,0.0,0.0,24-13-4,17-20-4,281.0,275.0,6.0,6-2-2,L2
14,2005,Southeast,4,Florida Panthers,82.0,37.0,34.0,11.0,85.0,,37.0,0.0,0.0,25-11-5,12-23-6,240.0,257.0,-17.0,4-4-2,W1
15,2005,Southeast,5,Washington Capitals,82.0,29.0,41.0,12.0,70.0,,29.0,0.0,0.0,16-18-7,13-23-5,237.0,306.0,-69.0,5-3-2,W3
16,2005,Central,1,Detroit Red Wings,82.0,58.0,16.0,8.0,124.0,,58.0,0.0,0.0,27-9-5,31-7-3,305.0,209.0,96.0,8-1-1,L1
17,2005,Central,2,Nashville Predators,82.0,49.0,25.0,8.0,106.0,,49.0,0.0,0.0,32-8-1,17-17-7,259.0,227.0,32.0,7-3-0,W6
18,2005,Central,3,Columbus Blue Jackets,82.0,35.0,43.0,4.0,74.0,,35.0,0.0,0.0,23-18-0,12-25-4,223.0,279.0,-56.0,6-3-1,W1
19,2005,Central,4,Chicago Blackhawks,82.0,26.0,43.0,13.0,65.0,,26.0,0.0,0.0,16-19-6,10-24-7,211.0,285.0,-74.0,3-5-2,W2
20,2005,Central,5,St. Louis Blues,82.0,21.0,46.0,15.0,57.0,,21.0,0.0,0.0,12-23-6,9-23-9,197.0,292.0,-95.0,1-7-2,L5
21,2005,Northwest,1,Calgary Flames,82.0,46.0,25.0,11.0,103.0,,46.0,0.0,0.0,30-7-4,16-18-7,218.0,200.0,18.0,6-1-3,L2
22,2005,Northwest,2,Colorado Avalanche,82.0,43.0,30.0,9.0,95.0,,43.0,0.0,0.0,25-10-6,18-20-3,283.0,257.0,26.0,4-5-1,L3
