Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3
Josh Richardson,SG,65,23.5,10.1,3.7,8.5,43.1,1.6,4.5,36.5,1.1,1.2,85.2,2.7,2.7,1.1,0.3,1.3,1,0
Joshua Primo,G,4,23.3,7.0,2.3,6.5,34.6,0.8,3.0,25.0,1.8,2.3,77.8,3.3,4.5,0.3,0.5,2.8,0,0
Jrue Holiday,G,67,32.6,19.3,7.3,15.3,47.9,2.4,6.1,38.4,2.3,2.6,85.9,5.1,7.4,1.2,0.4,2.9,16,0
JT Thor,F,69,14.0,3.8,1.4,3.4,39.9,0.6,1.8,31.7,0.5,0.7,70.2,2.2,0.5,0.3,0.3,0.6,0,0
Juan Toscano-Anderson,F,52,13.5,3.0,1.2,2.8,44.8,0.2,0.8,18.6,0.4,0.5,79.2,2.4,1.3,0.3,0.2,0.7,0,0
Juancho Hernangomez,PF,42,14.6,2.9,1.1,2.7,42.1,0.4,1.6,25.4,0.2,0.4,56.3,2.9,0.6,0.4,0.1,0.4,1,0
Julian Champagnie,F,17,18.8,9.7,3.5,7.6,45.4,1.9,4.8,40.2,0.8,1.0,82.4,3.5,0.6,0.4,0.3,0.6,1,0
Julius Randle,F,77,35.5,25.1,8.5,18.6,46.0,2.8,8.3,34.3,5.2,6.9,75.7,10.0,4.1,0.6,0.3,2.8,40,0
Justin Champagnie,F,5,6.8,2.2,1.0,3.0,33.3,0.2,1.0,20.0,0.0,0.0,0.0,1.6,0.8,0.2,0.0,0.0,0,0
Justin Holiday,F,46,15.3,4.5,1.7,4.4,37.7,1.0,3.1,32.2,0.1,0.2,62.5,1.2,0.9,0.4,0.4,0.5,0,0
Justin Jackson,F,23,4.7,0.9,0.3,1.2,25.9,0.2,0.9,25.0,0.0,0.1,50.0,0.7,0.4,0.2,0.2,0.1,0,0
Justin Minaya,F,4,22.3,4.3,1.8,5.8,30.4,0.8,3.0,25.0,0.0,0.3,0.0,3.8,1.0,0.5,1.3,1.0,0,0
