Rank,Year,Season,Division,DivisionRank,Team,GP,W,L,OTL,SOL,PTS,PCT,RW,ROW,GF,GA,DIFF,L10,STRK,PIM,GR
8,2023,2023-2024,North Division,2,Rochester Americans,72,39,23,7,3,88,0.611,25,35,234,239,-5,8-1-1-0,3-0-1-0,743,0
9,2023,2023-2024,Atlantic Division,3,Wilkes-Barre/Scranton Penguins,72,39,24,8,1,87,0.604,36,39,211,194,17,8-2-0-0,1-0-0-0,830,0
10,2023,2023-2024,Pacific Division,4,Colorado Eagles,72,40,25,5,2,87,0.604,34,39,215,195,20,5-5-0-0,1-0-0-0,1029,0
11,2023,2023-2024,North Division,3,Syracuse Crunch,72,39,24,4,5,87,0.604,30,36,220,203,17,3-4-0-3,0-1-0-0,895,0
12,2023,2023-2024,Pacific Division,5,Abbotsford Canucks,72,40,25,5,2,87,0.604,29,36,234,210,24,8-1-1-0,4-0-0-0,781,0
13,2023,2023-2024,Central Division,2,Grand Rapids Griffins,72,37,23,8,4,86,0.597,29,34,208,202,6,5-4-1-0,1-0-0-0,763,0
14,2023,2023-2024,Atlantic Division,4,Charlotte Checkers,72,39,26,7,0,85,0.59,29,38,217,203,14,6-3-1-0,0-1-0-0,812,0
15,2023,2023-2024,Central Division,3,Rockford IceHogs,72,39,26,5,2,85,0.59,28,36,215,208,7,7-3-0-0,1-0-0-0,864,0
16,2023,2023-2024,Pacific Division,6,Bakersfield Condors,72,39,27,4,2,84,0.583,30,35,223,202,21,4-4-2-0,2-0-2-0,912,0
17,2023,2023-2024,North Division,4,Belleville Senators,72,38,28,3,3,82,0.569,29,35,209,211,-2,8-2-0-0,3-0-0-0,1035,0
18,2023,2023-2024,North Division,5,Toronto Marlies,72,34,26,10,2,80,0.556,25,28,249,220,29,4-5-1-0,0-3-0-0,1045,0
19,2023,2023-2024,Pacific Division,7,Calgary Wranglers,72,35,28,6,3,79,0.549,29,32,203,212,-9,3-6-1-0,0-4-1-0,1015,0
20,2023,2023-2024,Atlantic Division,5,Hartford Wolf Pack,72,34,28,7,3,78,0.542,27,32,204,219,-15,4-5-0-1,0-1-0-0,1064,0
21,2023,2023-2024,North Division,6,Utica Comets,72,32,29,5,6,75,0.521,28,30,221,226,-5,4-4-1-1,0-1-0-0,809,0
22,2023,2023-2024,North Division,7,Laval Rocket,72,33,31,6,2,74,0.514,29,30,235,242,-7,4-6-0-0,0-2-0-0,1127,0
23,2023,2023-2024,Atlantic Division,6,Lehigh Valley Phantoms,72,32,31,6,3,73,0.507,20,28,191,217,-26,4-5-1-0,1-0-0-0,1091,0
24,2023,2023-2024,Central Division,4,Texas Stars,72,33,33,4,2,72,0.5,26,31,234,240,-6,4-6-0-0,0-2-0-0,671,0
25,2023,2023-2024,Central Division,5,Manitoba Moose,72,34,35,2,1,71,0.493,24,29,225,243,-18,6-4-0-0,2-0-0-0,938,0
26,2023,2023-2024,Atlantic Division,7,Springfield Thunderbirds,72,30,37,3,2,65,0.451,22,29,226,244,-18,2-8-0-0,0-2-0-0,947,0
27,2023,2023-2024,Pacific Division,8,Henderson Silver Knights,72,28,36,3,5,64,0.444,20,26,190,243,-53,3-6-1-0,0-1-0-0,748,0
28,2023,2023-2024,Pacific Division,9,San Diego Gulls,72,26,35,10,1,63,0.438,20,21,216,245,-29,3-4-2-1,1-0-1-0,931,0
29,2023,2023-2024,Central Division,6,Iowa Wild,72,27,37,4,4,62,0.431,23,25,184,245,-61,4-4-0-2,3-0-0-1,970,0
30,2023,2023-2024,Pacific Division,10,San Jose Barracuda,72,24,34,10,4,62,0.431,22,23,220,260,-40,4-3-1-2,1-0-0-0,1015,0
31,2023,2023-2024,Central Division,7,Chicago Wolves,72,23,35,7,7,60,0.417,19,21,192,253,-61,1-4-3-2,0-2-1-0,998,0
32,2023,2023-2024,Atlantic Division,8,Bridgeport Islanders,72,25,38,7,2,59,0.41,14,22,162,222,-60,3-5-1-1,1-0-0-0,778,0
1,2022,2022-2023,Pacific Division,1,Calgary Wranglers,72,51,17,3,1,106,0.736,45,48,256,174,82,8-2-0-0,1-0-0-0,1083,0
2,2022,2022-2023,Pacific Division,2,Coachella Valley Firebirds,72,48,17,5,2,103,0.715,38,44,257,194,63,6-3-1-0,0-2-0-0,1098,0
3,2022,2022-2023,Atlantic Division,1,Providence Bruins,72,44,18,8,2,98,0.681,35,39,221,201,20,6-4-0-0,2-0-0-0,1002,0
4,2022,2022-2023,Atlantic Division,2,Hershey Bears,72,44,19,5,4,97,0.674,37,40,217,184,33,6-3-0-1,1-0-0-0,775,0
5,2022,2022-2023,Central Division,1,Texas Stars,72,40,20,9,3,92,0.639,31,37,265,210,55,6-3-1-0,0-1-0-0,777,0
6,2022,2022-2023,North Division,1,Toronto Marlies,72,42,24,4,2,90,0.625,34,39,229,225,4,2-6-2-0,1-0-0-0,934,0
7,2022,2022-2023,Pacific Division,3,Colorado Eagles,72,40,22,7,3,90,0.625,34,38,210,187,23,6-2-2-0,4-0-0-0,1000,0
8,2022,2022-2023,Central Division,2,Milwaukee Admirals,72,41,24,5,2,89,0.618,30,33,238,211,27,4-4-2-0,0-1-1-0,810,0
9,2022,2022-2023,Pacific Division,4,Abbotsford Canucks,72,40,25,3,4,87,0.604,36,39,229,203,26,5-4-1-0,0-1-0-0,969,0
10,2022,2022-2023,Atlantic Division,3,Charlotte Checkers,72,39,25,5,3,86,0.597,27,35,235,220,15,4-4-2-0,3-0-0-0,939,0
11,2022,2022-2023,Atlantic Division,4,Springfield Thunderbirds,72,38,26,3,5,84,0.583,28,35,230,211,19,6-3-1-0,0-1-0-0,913,0
12,2022,2022-2023,Central Division,3,Manitoba Moose,72,37,25,6,4,84,0.583,28,35,227,226,1,3-6-1-0,1-0-1-0,931,0
13,2022,2022-2023,Atlantic Division,5,Hartford Wolf Pack,72,35,26,4,7,81,0.563,28,33,227,215,12,8-2-0-0,0-1-0-0,841,0
14,2022,2022-2023,North Division,2,Syracuse Crunch,72,35,26,7,4,81,0.563,27,31,252,239,13,5-2-2-1,0-1-1-0,1086,0
15,2022,2022-2023,North Division,3,Rochester Americans,72,36,27,6,3,81,0.563,25,32,236,233,3,6-2-2-0,1-0-0-0,802,0
