Rank,Year,Season,Division,DivisionRank,Team,GP,W,L,OTL,SOL,PTS,PCT,RW,ROW,GF,GA,DIFF,L10,STRK,PIM,GR
26,2008,2008-2009,East Division,6,Norfolk Admirals,80,33,38,4,5,75,0.469,29,31,236,269,-33,6-3-1-0,3-0-0-0,1850,0
27,2008,2008-2009,East Division,7,Albany River Rats,80,33,40,3,4,73,0.456,24,25,219,258,-39,2-8-0-0,1-0-0-0,1552,0
28,2008,2008-2009,North Division,7,Rochester Americans,80,29,43,0,8,66,0.413,22,24,184,259,-75,5-4-0-1,0-1-0-0,1293,0
29,2008,2008-2009,Atlantic Division,7,Springfield Falcons,80,24,44,8,4,60,0.375,16,17,188,258,-70,3-6-1-0,0-3-0-0,1516,0
1,2007,2007-2008,Atlantic Division,1,Providence Bruins,80,55,18,3,4,117,0.731,39,44,280,206,74,7-2-0-1,0-1-0-0,1528,0
2,2007,2007-2008,West Division,1,Chicago Wolves,80,53,22,2,3,110,0.688,45,51,300,226,74,6-4-0-0,2-0-0-0,1869,0
3,2007,2007-2008,Atlantic Division,2,Hartford Wolf Pack,80,50,20,2,8,110,0.688,44,47,266,198,68,8-1-0-1,4-0-0-0,1558,0
4,2007,2007-2008,North Division,1,Toronto Marlies,80,50,21,3,6,109,0.681,44,49,246,203,43,7-3-0-0,0-1-0-0,1453,0
5,2007,2007-2008,East Division,1,Barre/Scranton Penguins,80,47,26,3,4,101,0.631,37,40,223,187,36,5-1-3-1,5-0-3-1,1409,0
6,2007,2007-2008,North Division,2,Syracuse Crunch,80,46,26,2,6,100,0.625,37,44,247,201,46,10-0-0-0,20-0-0-3,2174,0
7,2007,2007-2008,North Division,3,Manitoba Moose,80,46,27,3,4,99,0.619,40,43,236,197,39,5-3-1-1,1-0-1-0,1407,0
8,2007,2007-2008,East Division,2,Philadelphia Phantoms,80,46,27,4,3,99,0.619,36,40,236,212,24,5-4-1-0,1-0-0-0,1851,0
9,2007,2007-2008,Atlantic Division,3,Portland Pirates,80,45,26,5,4,99,0.619,32,40,238,215,23,3-4-3-0,3-0-3-0,1394,0
10,2007,2007-2008,West Division,2,Rockford IceHogs,80,44,26,4,6,98,0.613,34,38,247,231,16,7-3-0-0,1-0-0-0,2109,0
11,2007,2007-2008,West Division,3,Houston Aeros,80,45,29,2,4,96,0.6,31,37,206,183,23,6-3-0-1,2-0-0-0,1448,0
12,2007,2007-2008,West Division,4,Milwaukee Admirals,80,44,29,4,3,95,0.594,36,39,231,212,19,6-2-1-1,0-1-0-1,1191,0
13,2007,2007-2008,West Division,5,San Antonio Rampage,80,42,28,3,7,94,0.588,31,37,238,225,13,6-4-0-0,0-2-0-0,1869,0
14,2007,2007-2008,East Division,3,Albany River Rats,80,43,30,3,4,93,0.581,32,38,213,198,15,5-4-1-0,0-2-0-0,1441,0
15,2007,2007-2008,East Division,4,Hershey Bears,80,42,30,2,6,92,0.575,38,41,253,247,6,6-2-1-1,4-0-1-1,1724,0
16,2007,2007-2008,Atlantic Division,4,Manchester Monarchs,80,39,31,5,5,88,0.55,30,34,240,228,12,7-2-0-1,0-1-0-0,1416,0
17,2007,2007-2008,West Division,6,Quad City Flames,80,38,32,3,7,86,0.538,27,27,203,214,-11,5-4-1-0,3-0-1-0,1581,0
18,2007,2007-2008,West Division,7,Peoria Rivermen,80,38,33,4,5,85,0.531,31,33,247,242,5,3-7-0-0,0-1-0-0,1530,0
19,2007,2007-2008,East Division,5,Bridgeport Sound Tigers,80,40,36,1,3,84,0.525,30,33,225,240,-15,3-6-0-1,0-2-0-0,1694,0
20,2007,2007-2008,North Division,4,Hamilton Bulldogs,80,36,34,3,7,82,0.513,30,33,208,235,-27,5-3-0-2,0-1-0-0,1230,0
21,2007,2007-2008,East Division,6,Binghamton Senators,80,34,32,9,5,82,0.513,25,27,225,248,-23,3-5-1-1,0-3-1-0,1642,0
22,2007,2007-2008,Atlantic Division,5,Springfield Falcons,80,35,35,5,5,80,0.5,25,29,214,257,-43,4-6-0-0,0-1-0-0,1564,0
23,2007,2007-2008,West Division,8,Iowa Stars,80,35,37,5,3,78,0.488,26,30,217,255,-38,4-4-1-1,0-2-0-0,1198,0
24,2007,2007-2008,Atlantic Division,6,Worcester Sharks,80,32,37,5,6,75,0.469,23,28,216,258,-42,5-5-0-0,3-0-0-0,1378,0
25,2007,2007-2008,North Division,5,Grand Rapids Griffins,80,31,41,2,6,70,0.438,25,27,210,245,-35,4-5-0-1,2-0-0-0,1313,0
26,2007,2007-2008,East Division,7,Norfolk Admirals,80,29,44,2,5,65,0.406,23,24,213,267,-54,4-6-0-0,2-0-0-0,1556,0
27,2007,2007-2008,North Division,6,Lake Erie Monsters,80,26,41,6,7,65,0.406,19,21,209,276,-67,1-8-1-0,0-4-0-0,1521,0
28,2007,2007-2008,Atlantic Division,7,Lowell Devils,80,25,43,7,5,62,0.388,20,22,183,270,-87,3-6-0-1,1-0-0-0,1074,0
29,2007,2007-2008,North Division,7,Rochester Americans,80,24,46,6,4,58,0.363,17,19,197,291,-94,4-6-0-0,1-0-0-0,1571,0
1,2006,2006-2007,East Division,1,Hershey Bears,80,51,17,6,6,114,0.713,46,49,305,219,86,7-3-0-0,1-0-0-0,1912,0
2,2006,2006-2007,Atlantic Division,1,Manchester Monarchs,80,51,21,7,1,110,0.688,43,48,242,182,60,8-1-1-0,8-0-1-0,1566,0
3,2006,2006-2007,East Division,2,Wilkes-Barre/Scranton Penguins,80,51,23,2,4,108,0.675,41,44,276,221,55,6-4-0-0,0-2-0-0,1763,0
4,2006,2006-2007,East Division,3,Norfolk Admirals,80,50,22,6,2,108,0.675,38,46,301,257,44,5-4-0-1,0-1-0-0,2041,0
5,2006,2006-2007,West Division,1,Omaha Ak-Sar-Ben Knights,80,49,25,5,1,104,0.65,40,41,214,189,25,7-2-1-0,2-0-0-0,1600,0
6,2006,2006-2007,North Division,1,Manitoba Moose,80,45,23,7,5,102,0.638,38,41,232,201,31,5-4-0-1,0-1-0-0,1489,0
7,2006,2006-2007,West Division,2,Chicago Wolves,80,46,25,3,6,101,0.631,39,44,331,252,79,6-2-1-1,0-1-0-0,1704,0
8,2006,2006-2007,North Division,2,Rochester Americans,80,48,30,1,1,98,0.613,39,44,269,250,19,6-3-0-1,3-0-0-1,1397,0
9,2006,2006-2007,Atlantic Division,2,Hartford Wolf Pack,80,47,29,3,1,98,0.613,37,41,231,201,30,6-3-0-1,0-1-0-0,1900,0
10,2006,2006-2007,West Division,3,Milwaukee Admirals,80,41,25,4,10,96,0.6,26,35,227,230,-3,6-2-0-2,3-0-0-1,1399,0
11,2006,2006-2007,North Division,3,Hamilton Bulldogs,80,43,28,3,6,95,0.594,32,35,243,208,35,5-4-0-1,0-1-0-0,1474,0
12,2006,2006-2007,Atlantic Division,3,Providence Bruins,80,44,30,2,4,94,0.588,34,39,251,218,33,5-3-1-1,4-0-1-1,1473,0
13,2006,2006-2007,Atlantic Division,4,Worcester Sharks,80,41,28,3,8,93,0.581,32,38,247,244,3,7-3-0-0,1-0-0-0,1382,0
14,2006,2006-2007,West Division,4,Iowa Stars,80,42,34,3,1,88,0.55,34,38,221,231,-10,6-4-0-0,0-1-0-0,1226,0
15,2006,2006-2007,Atlantic Division,5,Lowell Devils,80,38,30,6,6,88,0.55,30,36,212,220,-8,4-5-1-0,0-1-1-0,1036,0
16,2006,2006-2007,Atlantic Division,6,Portland Pirates,80,37,31,3,9,86,0.538,30,31,225,232,-7,6-4-0-0,2-0-0-0,1656,0
17,2006,2006-2007,North Division,4,Grand Rapids Griffins,80,37,32,6,5,85,0.531,28,29,226,244,-18,4-6-0-0,0-3-0-0,1454,0
18,2006,2006-2007,West Division,5,Peoria Rivermen,80,37,33,2,8,84,0.525,30,34,221,242,-21,3-5-0-2,0-1-0-1,1585,0
19,2006,2006-2007,East Division,4,Albany River Rats,80,37,36,4,3,81,0.506,32,33,246,258,-12,4-5-1-0,0-1-1-0,1576,0
20,2006,2006-2007,North Division,5,Syracuse Crunch,80,34,34,4,8,80,0.5,31,33,250,248,2,5-3-1-1,1-0-0-0,1961,0
21,2006,2006-2007,East Division,5,Bridgeport Sound Tigers,80,36,37,1,6,79,0.494,24,29,229,267,-38,3-6-0-1,1-0-0-0,1331,0
22,2006,2006-2007,North Division,6,Toronto Marlies,80,34,39,2,5,75,0.469,24,27,220,270,-50,5-4-0-1,2-0-0-0,1664,0
23,2006,2006-2007,East Division,6,Philadelphia Phantoms,80,31,41,2,6,70,0.438,27,28,222,271,-49,3-7-0-0,0-1-0-0,1674,0
24,2006,2006-2007,West Division,6,San Antonio Rampage,80,32,42,2,4,70,0.438,24,28,219,256,-37,4-5-1-0,1-0-0-0,1394,0
25,2006,2006-2007,West Division,7,Houston Aeros,80,27,43,4,6,64,0.4,19,20,205,269,-64,3-6-1-0,0-1-0-0,1614,0
26,2006,2006-2007,Atlantic Division,7,Springfield Falcons,80,28,49,1,2,59,0.369,20,21,181,268,-87,2-8-0-0,0-3-0-0,1281,0
27,2006,2006-2007,East Division,7,Binghamton Senators,80,23,48,4,5,55,0.344,17,19,225,323,-98,4-5-1-0,2-0-0-0,1677,0
1,2005,2005-2006,North Division,1,Grand Rapids Griffins,80,55,20,1,4,115,0.719,43,49,323,247,76,6-4-0-0,0-1-0-0,1888,0
2,2005,2005-2006,Atlantic Division,1,Portland Pirates,80,53,19,5,3,114,0.713,43,46,306,241,65,9-1-0-0,4-0-0-0,1920,0
3,2005,2005-2006,East Division,1,Wilkes-Barre/Scranton Penguins,80,51,18,5,6,113,0.706,42,46,249,178,71,6-2-1-1,4-0-0-1,2101,0
4,2005,2005-2006,West Division,1,Milwaukee Admirals,80,49,21,6,4,108,0.675,37,42,268,234,34,6-2-0-2,5-0-0-2,1877,0
5,2005,2005-2006,West Division,2,Houston Aeros,80,50,24,3,3,106,0.663,41,44,285,242,43,5-4-1-0,1-0-0-0,1779,0
6,2005,2005-2006,Atlantic Division,2,Hartford Wolf Pack,80,48,24,2,6,104,0.65,40,44,292,241,51,7-3-0-0,4-0-0-0,1930,0
7,2005,2005-2006,East Division,2,Hershey Bears,80,44,21,5,10,103,0.644,36,40,262,234,28,5-3-2-0,2-0-0-0,2072,0
8,2005,2005-2006,North Division,2,Syracuse Crunch,80,47,25,5,3,102,0.638,37,41,272,251,21,4-4-1-1,1-0-0-0,2008,0
9,2005,2005-2006,West Division,3,Peoria Rivermen,80,46,26,3,5,100,0.625,36,39,253,226,27,6-3-0-1,0-1-0-1,1683,0
10,2005,2005-2006,North Division,3,Manitoba Moose,80,44,24,7,5,100,0.625,36,39,243,217,26,5-3-1-1,1-0-0-0,1910,0
11,2005,2005-2006,East Division,3,Norfolk Admirals,80,43,29,4,4,94,0.588,38,39,259,246,13,7-3-0-0,2-0-0-0,1911,0
12,2005,2005-2006,Atlantic Division,3,Manchester Monarchs,80,43,30,3,4,93,0.581,25,32,236,230,6,4-5-1-0,2-0-0-0,1264,0
13,2005,2005-2006,North Division,4,Toronto Marlies,80,41,29,6,4,92,0.575,34,36,270,263,7,3-4-1-2,0-1-0-1,1749,0
14,2005,2005-2006,Atlantic Division,4,Providence Bruins,80,43,31,1,5,92,0.575,31,37,254,217,37,6-4-0-0,0-1-0-0,1686,0
15,2005,2005-2006,West Division,4,Iowa Stars,80,41,31,1,7,90,0.563,30,33,238,228,10,8-2-0-0,0-1-0-0,1411,0
16,2005,2005-2006,East Division,4,Bridgeport Sound Tigers,80,38,33,6,3,85,0.531,33,36,246,253,-7,3-5-2-0,0-3-0-0,1303,0
17,2005,2005-2006,West Division,5,Chicago Wolves,80,36,32,4,8,84,0.525,31,33,278,275,3,7-2-1-0,1-0-0-0,2028,0
18,2005,2005-2006,West Division,6,Sar-Ben Knights,80,35,31,3,11,84,0.525,28,31,206,221,-15,2-5-1-2,1-0-0-0,1801,0
19,2005,2005-2006,North Division,5,Rochester Americans,80,37,39,2,2,78,0.488,30,31,261,270,-9,5-5-0-0,3-0-0-0,1993,0
20,2005,2005-2006,East Division,5,Binghamton Senators,80,35,37,4,4,78,0.488,27,31,258,295,-37,5-5-0-0,0-4-0-0,2200,0
21,2005,2005-2006,East Division,6,Philadelphia Phantoms,80,34,37,2,7,77,0.481,22,30,197,232,-35,5-4-1-0,0-1-1-0,2380,0
22,2005,2005-2006,North Division,6,Hamilton Bulldogs,80,35,41,0,4,74,0.463,25,30,225,251,-26,5-5-0-0,1-0-0-0,2090,0
23,2005,2005-2006,Atlantic Division,5,Lowell Lock Monsters,80,29,37,6,8,72,0.45,25,25,222,257,-35,3-5-1-1,1-0-0-0,1465,0
24,2005,2005-2006,Atlantic Division,6,Springfield Falcons,80,28,43,3,6,65,0.406,20,26,220,312,-92,3-7-0-0,0-4-0-0,1539,0
25,2005,2005-2006,North Division,7,Cleveland Barons,80,27,48,2,3,59,0.369,24,25,210,302,-92,4-5-0-1,0-1-0-0,1682,0
26,2005,2005-2006,Atlantic Division,7,Albany River Rats,80,25,48,4,3,57,0.356,20,23,206,278,-72,2-8-0-0,1-0-0-0,1974,0
27,2005,2005-2006,West Division,7,San Antonio Rampage,80,23,50,3,4,53,0.331,14,16,153,251,-98,2-7-1-0,0-1-0-0,1598,0
1,2004,2004-2005,North Division,1,Rochester Americans,80,51,19,4,6,112,0.7,42,46,243,208,35,3-7-0-0,0-2-0-0,1923,0
2,2004,2004-2005,Atlantic Division,1,Manchester Monarchs,80,51,21,4,4,110,0.688,44,48,258,176,82,6-3-0-1,1-0-0-0,2044,0
3,2004,2004-2005,Atlantic Division,2,Hartford Wolf Pack,80,50,24,3,3,106,0.663,38,43,206,160,46,7-3-0-0,0-1-0-0,2586,0
4,2004,2004-2005,East Division,1,Binghamton Senators,80,47,21,5,7,106,0.663,35,44,276,217,59,9-1-0-0,6-0-0-0,2382,0
5,2004,2004-2005,West Division,1,Chicago Wolves,80,49,24,5,2,105,0.656,40,45,245,211,34,6-4-0-0,1-0-0-0,1954,0
6,2004,2004-2005,West Division,2,Milwaukee Admirals,80,47,24,4,5,103,0.644,38,44,247,207,40,5-4-0-1,1-0-0-0,1930,0
7,2004,2004-2005,East Division,2,Philadelphia Phantoms,80,48,25,3,4,103,0.644,36,42,235,185,50,7-3-0-0,0-1-0-0,2244,0
8,2004,2004-2005,Atlantic Division,3,Lowell Lock Monsters,80,47,27,1,5,100,0.625,41,41,242,190,52,6-4-0-0,3-0-0-0,1946,0
9,2004,2004-2005,North Division,2,Manitoba Moose,80,44,26,3,7,98,0.613,37,41,243,210,33,5-5-0-0,2-0-0-0,1799,0
10,2004,2004-2005,North Division,3,St. John's Maple Leafs,80,46,28,1,5,98,0.613,32,37,244,232,12,6-2-0-2,4-0-0-1,2072,0
11,2004,2004-2005,West Division,3,Cincinnati Mighty Ducks,80,44,31,1,4,93,0.581,35,40,206,191,15,8-2-0-0,2-0-0-0,2208,0
12,2004,2004-2005,East Division,3,Norfolk Admirals,80,43,30,1,6,93,0.581,33,38,200,188,12,4-5-0-1,1-0-0-0,2256,0
13,2004,2004-2005,East Division,4,Wilkes-Barre/Scranton Penguins,80,39,27,7,7,92,0.575,35,35,227,219,8,4-5-1-0,0-1-0-0,1943,0
14,2004,2004-2005,West Division,4,Houston Aeros,80,40,28,6,6,92,0.575,33,35,212,195,17,7-2-0-1,3-0-0-1,1862,0
15,2004,2004-2005,Atlantic Division,4,Providence Bruins,80,40,30,3,7,90,0.563,36,36,211,202,9,6-4-0-0,0-2-0-0,2171,0
16,2004,2004-2005,North Division,4,Hamilton Bulldogs,80,38,29,7,6,89,0.556,33,35,225,210,15,7-2-0-1,0-1-0-0,1764,0
17,2004,2004-2005,West Division,5,Grand Rapids Griffins,80,41,35,2,2,86,0.538,28,34,200,200,0,4-5-0-1,0-2-0-0,1721,0
18,2004,2004-2005,Atlantic Division,5,Worcester IceCats,80,39,34,4,3,85,0.531,33,36,212,223,-11,4-5-0-1,0-1-0-0,1422,0
19,2004,2004-2005,North Division,5,Syracuse Crunch,80,36,33,7,4,83,0.519,24,26,215,230,-15,4-5-1-0,2-0-0-0,2238,0
20,2004,2004-2005,East Division,5,Hershey Bears,80,39,37,2,2,82,0.513,27,32,207,226,-19,3-6-0-1,0-5-0-1,1479,0
21,2004,2004-2005,Atlantic Division,6,Portland Pirates,80,34,34,6,6,80,0.5,23,30,175,242,-67,3-4-2-1,1-0-0-0,1810,0
22,2004,2004-2005,North Division,6,Edmonton Road Runners,80,32,33,4,11,79,0.494,26,28,201,223,-22,4-5-0-1,0-1-0-1,1873,0
23,2004,2004-2005,East Division,6,Bridgeport Sound Tigers,80,37,38,4,1,79,0.494,25,32,192,222,-30,5-4-1-0,2-0-0-0,1834,0
24,2004,2004-2005,North Division,7,Cleveland Barons,80,35,37,2,6,78,0.488,28,30,200,226,-26,4-6-0-0,1-0-0-0,1676,0
25,2004,2004-2005,East Division,7,Albany River Rats,80,29,38,7,6,71,0.444,24,27,198,248,-50,6-3-1-0,0-3-0-0,2178,0
26,2004,2004-2005,West Division,6,San Antonio Rampage,80,27,45,3,5,62,0.388,20,24,156,232,-76,2-8-0-0,0-1-0-0,1654,0
27,2004,2004-2005,Atlantic Division,7,Springfield Falcons,80,24,47,6,3,57,0.356,16,20,161,255,-94,4-3-3-0,1-0-0-0,1946,0
28,2004,2004-2005,West Division,7,Utah Grizzlies,80,23,50,2,5,53,0.331,13,13,156,265,-109,4-5-0-1,1-0-0-0,1857,0
