Name,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Rafael Harvey-Pinard,LW,1,0,0,0,0,0,8:54,0,0,0,0.0,11,0,0,0,0.0,0,0,0.0
Michael Pezzetta,LW,14,0,0,0,-4,10,5:37,0,0,7,0.0,111,0,1,5,16.7,0,0,0.0
Spencer Stastney,D,9,0,0,0,-5,0,16:28,0,0,8,0.0,197,0,0,0,0.0,0,0,0.0
Emil Bemstrom,C,5,0,0,0,-1,0,10:07,0,0,5,0.0,73,0,0,0,0.0,0,0,0.0
Jonas Rondbjerg,RW,11,0,0,0,-3,0,9:38,0,0,9,0.0,154,0,1,4,20.0,0,0,0.0
Tobias Bjornfot,D,8,0,0,0,2,0,13:24,0,0,8,0.0,166,0,0,0,0.0,0,0,0.0
Nolan Foote,LW,2,0,0,0,-1,0,10:46,0,0,0,0.0,30,0,0,0,0.0,0,0,0.0
Ryan Suzuki,C,2,0,0,0,1,0,6:35,0,0,0,0.0,18,0,3,4,42.9,0,0,0.0
Ryan Johnson,D,3,0,0,0,-2,4,17:40,0,0,3,0.0,68,0,0,0,0.0,0,0,0.0
Raphael Lavoie,C,8,0,0,0,-4,2,10:37,0,0,10,0.0,119,0,0,2,0.0,0,0,0.0
Samuel Bolduc,D,1,0,0,0,-1,0,5:56,0,0,0,0.0,11,0,0,0,0.0,0,0,0.0
Reese Johnson,C,3,0,0,0,0,0,9:31,0,0,1,0.0,33,0,0,0,0.0,0,0,0.0
Jan Jenik,C,2,0,0,0,-1,0,7:41,0,0,0,0.0,22,0,1,2,33.3,0,0,0.0
Michael Callahan,D,11,0,0,0,-2,0,13:07,0,0,4,0.0,213,0,0,0,0.0,0,0,0.0
Olle Lycksell,RW,6,0,0,0,-1,0,10:33,0,0,3,0.0,80,0,1,1,50.0,0,0,0.0
Adam Ginning,D,1,0,0,0,-1,0,12:48,0,0,0,0.0,18,0,0,0,0.0,0,0,0.0
Nathan Legare,RW,3,0,0,0,-1,0,10:40,0,0,3,0.0,41,0,0,0,0.0,0,0,0.0
Mason Morelli,LW,1,0,0,0,-1,0,7:31,0,0,0,0.0,11,0,0,0,0.0,0,0,0.0
Tye Felhaber,LW,5,0,0,0,-1,0,5:31,0,0,2,0.0,39,0,0,0,0.0,0,0,0.0
Jeffrey Viel,LW,4,0,0,0,-1,9,7:44,0,0,3,0.0,49,0,0,0,0.0,0,0,0.0
Angus Crookshank,LW,1,0,0,0,0,0,14:04,0,0,3,0.0,22,0,0,1,0.0,0,0,0.0
Brendan Brisson,C,9,0,0,0,-3,0,9:52,0,0,7,0.0,122,0,0,0,0.0,0,0,0.0
Ozzy Wiesblatt,C,3,0,0,0,1,0,11:09,0,0,1,0.0,47,0,0,0,0.0,0,0,0.0
Vasily Ponomarev,C,4,0,0,0,-1,2,9:13,0,0,4,0.0,49,0,1,4,20.0,0,0,0.0
Jack Finley,C,1,0,0,0,1,0,8:25,0,0,1,0.0,15,0,3,2,60.0,0,0,0.0
Chase Bradley,LW,2,0,0,0,0,0,5:34,0,0,0,0.0,16,0,0,0,0.0,0,0,0.0
Daemon Hunt,D,1,0,0,0,0,0,8:01,0,0,2,0.0,8,0,0,0,0.0,0,0,0.0
Donovan Sebrango,D,2,0,0,0,-1,0,10:18,0,0,0,0.0,31,0,0,0,0.0,0,0,0.0
Patrick Giles,RW,9,0,0,0,-1,0,7:23,0,0,4,0.0,98,0,14,33,29.8,0,0,0.0
Ben Meyers,C,7,0,0,0,-3,2,8:09,0,0,3,0.0,77,0,22,20,52.4,0,0,0.0
Owen Sillinger,C,1,0,0,0,0,2,13:09,0,0,0,0.0,16,0,2,3,40.0,0,0,0.0
Mike Hardman,LW,1,0,0,0,0,0,8:24,0,0,0,0.0,13,0,0,1,0.0,0,0,0.0
Isak Rosen,RW,2,0,0,0,-1,0,9:07,0,0,1,0.0,27,0,0,0,0.0,0,0,0.0
Brennan Othmann,LW,4,0,0,0,3,0,10:12,0,0,5,0.0,65,0,0,0,0.0,0,0,0.0
Fabian Lysell,RW,1,0,0,0,1,0,11:32,0,0,0,0.0,15,0,0,0,0.0,0,0,0.0
Oskar Olausson,RW,2,0,0,0,0,0,6:48,0,0,3,0.0,16,0,0,0,0.0,0,0,0.0
Scott Morrow,D,2,0,0,0,-1,0,11:26,0,0,3,0.0,30,0,0,0,0.0,0,0,0.0
James Malatesta,LW,2,0,0,0,-1,0,10:34,0,0,0,0.0,23,0,1,0,100.0,0,0,0.0
Daniil Misyul,D,1,0,0,0,-1,0,12:23,0,0,0,0.0,18,0,0,0,0.0,0,0,0.0
Jason Polin,RW,2,0,0,0,0,0,5:11,0,0,3,0.0,14,0,1,0,100.0,0,0,0.0
Jacob Quillan,C,1,0,0,0,0,0,5:21,0,0,0,0.0,7,0,0,0,0.0,0,0,0.0
Brian Halonen,LW,2,0,0,0,-1,0,13:54,0,0,2,0.0,32,0,0,0,0.0,0,0,0.0
Joshua Roy,RW,4,0,0,0,-1,2,10:56,0,0,3,0.0,60,0,0,0,0.0,0,0,0.0
Kevin Korchinski,D,9,0,0,0,-5,4,16:46,0,0,7,0.0,185,0,0,0,0.0,0,0,0.0
Rutger McGroarty,RW,3,0,0,0,-1,0,11:37,0,0,2,0.0,50,0,0,1,0.0,0,0,0.0
