Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,SHG,OTG,GWG,S,S%,EVG,EVP,FO%,Season
Samuel Pahlsson,CBJ,C,82,7,13,20,-13,30,920.2804,0,0,1,0,1,108,0.06481,6,19,0.52003,2010-2011
Scott Gomez,MTL,C,87,7,35,42,-21,50,1119.3333,3,15,0,0,2,178,0.03932,4,23,0.47376,2010-2011
Scott Hannan,WSH,D,9,0,1,1,1,2,1417.0,0,0,0,0,0,6,0.0,0,1,nan,2010-2011
Scott Hannan,"COL,WSH",D,78,1,10,11,4,34,1187.1923,0,0,0,0,0,56,0.01785,1,10,nan,2010-2011
Scott Hartnell,PHI,L,93,25,28,53,9,165,994.215,4,6,0,0,4,194,0.12886,21,43,0.54545,2010-2011
Scott Nichol,SJS,C,71,4,3,7,-10,76,541.9154,0,0,0,0,0,69,0.05797,4,7,0.58119,2010-2011
Scott Parse,LAK,L,7,1,3,4,4,0,741.5714,0,0,0,0,0,6,0.16666,1,4,nan,2010-2011
Scott Timmins,FLA,C,19,1,0,1,-8,8,649.0526,0,0,0,0,0,13,0.07692,1,1,0.46923,2010-2011
Scottie Upshall,"PHX,CBJ",R,82,22,12,34,-7,52,842.3658,2,1,0,0,2,191,0.11518,20,31,0.32,2010-2011
Sean Avery,NYR,L,80,3,22,25,-5,186,677.45,0,1,0,0,1,144,0.02083,3,24,0.64,2010-2011
Sean Bergenheim,TBL,L,96,23,17,40,2,64,840.5625,2,3,0,0,2,228,0.10087,21,35,0.48571,2010-2011
Sean Collins,WSH,D,5,1,0,1,2,0,781.6,0,0,0,0,1,4,0.25,1,1,nan,2010-2011
Sean O'Donnell,PHI,D,92,1,19,20,6,92,912.5543,0,0,0,0,0,38,0.02631,1,19,nan,2010-2011
Sergei Gonchar,OTT,D,67,7,20,27,-15,20,1391.5223,5,15,0,0,0,107,0.06542,2,7,nan,2010-2011
Sergei Kostitsyn,NSH,L,89,23,32,55,10,22,937.0449,4,11,1,0,2,103,0.2233,18,39,0.14285,2010-2011
Sergei Samsonov,"CAR,FLA",L,78,13,27,40,-2,14,927.2179,4,9,0,0,1,123,0.10569,9,27,0.27272,2010-2011
Sergei Shirokov,VAN,L,2,1,0,1,1,0,617.5,0,0,0,0,0,6,0.16666,1,1,nan,2010-2011
